peak,config,max_amount,max_time_days,total_score,early_score,retention_score,whale_score,target_score,flash_score,early_growth_rate,week20_retention,max_whale_efficiency,flash_whale_efficiency,target_fp_per_$,early,retention,whale
8.0,"Tight (5-35w, $1k-$10k)",10000,245,82.54978998330888,100,95.35533905932738,33.91488868577362,99.99999999999997,100.0,3.9393873336424257,0.6767766952966369,0.730425556571132,0.1255490612065564,800.0000000000002,"{'week1_fp_per_$': np.float64(125.10876208919751), 'week2_fp_per_$': np.float64(314.62135623730956), 'week3_fp_per_$': np.float64(617.9606347910659), 'target_fp_per_$': np.float64(800.0000000000002), 'week1_vs_target': np.float64(0.15638595261149685), 'week3_vs_target': np.float64(0.7724507934888322), 'early_growth_rate': np.float64(3.9393873336424257)}","{'target_fp_per_$': np.float64(800.0000000000002), 'week10_fp_per_$': np.float64(761.6920527758978), 'week20_fp_per_$': np.float64(541.4213562373096), 'week10_vs_target': np.float64(0.9521150659698719), 'week20_vs_target': np.float64(0.6767766952966369), 'retention_penalty': np.float64(0.32322330470336313), 'long_micro_fp_per_$': np.float64(105.11959594928932), 'long_micro_vs_target': np.float64(0.1313994949366116)}","{'target_fp_per_$': np.float64(800.0000000000002), 'flash_whale_fp_per_$': np.float64(100.43924896524514), 'whale_5k_fp_per_$': np.float64(584.3404452569057), 'whale_10k_target_fp_per_$': np.float64(282.842712474619), 'whale_10k_10w_fp_per_$': np.float64(269.29880784686947), 'flash_whale_efficiency': np.float64(0.1255490612065564), 'whale_5k_efficiency': np.float64(0.730425556571132), 'whale_10k_target_efficiency': np.float64(0.3535533905932737), 'whale_10k_10w_efficiency': np.float64(0.33662350980858674)}"
7.0,"Tight (5-35w, $1k-$10k)",10000,245,82.52902884325691,100,97.79644730092272,31.878957532289448,99.99999999999999,100.0,3.4626455115147294,0.6889822365046135,0.7406052123385528,0.1434219488047968,700.0000000000001,"{'week1_fp_per_$': np.float64(122.5126317424886), 'week2_fp_per_$': np.float64(287.8875655532296), 'week3_fp_per_$': np.float64(546.7304461494737), 'target_fp_per_$': np.float64(700.0000000000001), 'week1_vs_target': np.float64(0.17501804534641224), 'week3_vs_target': np.float64(0.7810434944992479), 'early_growth_rate': np.float64(3.4626455115147294)}","{'target_fp_per_$': np.float64(700.0000000000001), 'week10_fp_per_$': np.float64(667.746306007886), 'week20_fp_per_$': np.float64(482.28756555322957), 'week10_vs_target': np.float64(0.9539232942969799), 'week20_vs_target': np.float64(0.6889822365046135), 'retention_penalty': np.float64(0.31101776349538646), 'long_micro_fp_per_$': np.float64(104.60810367098085), 'long_micro_vs_target': np.float64(0.1494401481014012)}","{'target_fp_per_$': np.float64(700.0000000000001), 'flash_whale_fp_per_$': np.float64(100.39536416335778), 'whale_5k_fp_per_$': np.float64(518.4236486369871), 'whale_10k_target_fp_per_$': np.float64(264.5751311064591), 'whale_10k_10w_fp_per_$': np.float64(252.3843806541288), 'flash_whale_efficiency': np.float64(0.1434219488047968), 'whale_5k_efficiency': np.float64(0.7406052123385528), 'whale_10k_target_efficiency': np.float64(0.3779644730092272), 'whale_10k_10w_efficiency': np.float64(0.3605491152201839)}"
6.0,"Tight (5-35w, $1k-$10k)",10000,245,82.33830724958749,100,100.0,29.353228998349962,99.99999999999999,100.0,2.9669440438855204,0.7041241452319316,0.7532338550082502,0.16724702601946229,599.9999999999999,"{'week1_fp_per_$': np.float64(119.74508177854102), 'week2_fp_per_$': np.float64(260.4744871391589), 'week3_fp_per_$': np.float64(475.02203894596784), 'target_fp_per_$': np.float64(599.9999999999999), 'week1_vs_target': np.float64(0.1995751362975684), 'week3_vs_target': np.float64(0.7917033982432798), 'early_growth_rate': np.float64(2.9669440438855204)}","{'target_fp_per_$': np.float64(599.9999999999999), 'week10_fp_per_$': np.float64(573.699924020616), 'week20_fp_per_$': np.float64(422.47448713915884), 'week10_vs_target': np.float64(0.9561665400343602), 'week20_vs_target': np.float64(0.7041241452319316), 'retention_penalty': np.float64(0.29587585476806844), 'long_micro_fp_per_$': np.float64(104.0585712797929), 'long_micro_vs_target': np.float64(0.1734309521329882)}","{'target_fp_per_$': np.float64(599.9999999999999), 'flash_whale_fp_per_$': np.float64(100.34821561167735), 'whale_5k_fp_per_$': np.float64(451.94031300495004), 'whale_10k_target_fp_per_$': np.float64(244.94897427831782), 'whale_10k_10w_fp_per_$': np.float64(234.21201322066463), 'flash_whale_efficiency': np.float64(0.16724702601946229), 'whale_5k_efficiency': np.float64(0.7532338550082502), 'whale_10k_target_efficiency': np.float64(0.40824829046386313), 'whale_10k_10w_efficiency': np.float64(0.39035335536777443)}"
5.0,"Tight (5-35w, $1k-$10k)",10000,245,81.52586193196248,100,100.0,26.10344772784991,99.99999999999999,100.0,2.449007406494567,0.7236067977499788,0.7694827613607504,0.20059388922067622,500.0000000000001,"{'week1_fp_per_$': np.float64(116.76101131290133), 'week2_fp_per_$': np.float64(232.20339887498957), 'week3_fp_per_$': np.float64(402.70959280799264), 'target_fp_per_$': np.float64(500.0000000000001), 'week1_vs_target': np.float64(0.2335220226258026), 'week3_vs_target': np.float64(0.8054191856159851), 'early_growth_rate': np.float64(2.449007406494567)}","{'target_fp_per_$': np.float64(500.0000000000001), 'week10_fp_per_$': np.float64(479.52642946296146), 'week20_fp_per_$': np.float64(361.8033988749895), 'week10_vs_target': np.float64(0.9590528589259227), 'week20_vs_target': np.float64(0.7236067977499788), 'retention_penalty': np.float64(0.2763932022500212), 'long_micro_fp_per_$': np.float64(103.4609903369994), 'long_micro_vs_target': np.float64(0.20692198067399875)}","{'target_fp_per_$': np.float64(500.0000000000001), 'flash_whale_fp_per_$': np.float64(100.29694461033813), 'whale_5k_fp_per_$': np.float64(384.7413806803753), 'whale_10k_target_fp_per_$': np.float64(223.606797749979), 'whale_10k_10w_fp_per_$': np.float64(214.45073865738794), 'flash_whale_efficiency': np.float64(0.20059388922067622), 'whale_5k_efficiency': np.float64(0.7694827613607504), 'whale_10k_target_efficiency': np.float64(0.44721359549995787), 'whale_10k_10w_efficiency': np.float64(0.4289014773147758)}"
4.0,"Tight (5-35w, $1k-$10k)",10000,245,80.42524005486968,100,100.0,21.70096021947873,100.0,100.0,1.9041899283821127,0.75,0.7914951989026063,0.250600583090379,400.0,"{'week1_fp_per_$': np.float64(113.4912), 'week2_fp_per_$': np.float64(202.8), 'week3_fp_per_$': np.float64(329.6), 'target_fp_per_$': np.float64(400.0), 'week1_vs_target': np.float64(0.28372800000000004), 'week3_vs_target': np.float64(0.8240000000000001), 'early_growth_rate': np.float64(1.9041899283821127)}","{'target_fp_per_$': np.float64(400.0), 'week10_fp_per_$': np.float64(385.1851851851852), 'week20_fp_per_$': np.float64(300.0), 'week10_vs_target': np.float64(0.962962962962963), 'week20_vs_target': np.float64(0.75), 'retention_penalty': np.float64(0.25), 'long_micro_fp_per_$': np.float64(102.8), 'long_micro_vs_target': np.float64(0.257)}","{'target_fp_per_$': np.float64(400.0), 'flash_whale_fp_per_$': np.float64(100.24023323615161), 'whale_5k_fp_per_$': np.float64(316.59807956104254), 'whale_10k_target_fp_per_$': np.float64(200.0), 'whale_10k_10w_fp_per_$': np.float64(192.5925925925926), 'flash_whale_efficiency': np.float64(0.250600583090379), 'whale_5k_efficiency': np.float64(0.7914951989026063), 'whale_10k_target_efficiency': np.float64(0.5), 'whale_10k_10w_efficiency': np.float64(0.4814814814814815)}"
3.0,"Tight (5-35w, $1k-$10k)",10000,245,77.79486351219543,100,100.0,15.249799222593595,99.99999999999999,93.21609137698022,1.3253526207289126,0.788675134594813,0.823751003887032,0.3339195431150989,299.99999999999994,"{'week1_fp_per_$': np.float64(109.81912426958107), 'week2_fp_per_$': np.float64(171.80254037844384), 'week3_fp_per_$': np.float64(255.36818842642447), 'target_fp_per_$': np.float64(299.99999999999994), 'week1_vs_target': np.float64(0.36606374756527027), 'week3_vs_target': np.float64(0.8512272947547483), 'early_growth_rate': np.float64(1.3253526207289126)}","{'target_fp_per_$': np.float64(299.99999999999994), 'week10_fp_per_$': np.float64(290.60778375976946), 'week20_fp_per_$': np.float64(236.60254037844385), 'week10_vs_target': np.float64(0.968692612532565), 'week20_vs_target': np.float64(0.788675134594813), 'retention_penalty': np.float64(0.21132486540518702), 'long_micro_fp_per_$': np.float64(102.04974226119286), 'long_micro_vs_target': np.float64(0.34016580753730963)}","{'target_fp_per_$': np.float64(299.99999999999994), 'flash_whale_fp_per_$': np.float64(100.17586293452966), 'whale_5k_fp_per_$': np.float64(247.12530116610955), 'whale_10k_target_fp_per_$': np.float64(173.20508075688772), 'whale_10k_10w_fp_per_$': np.float64(167.78248218230345), 'flash_whale_efficiency': np.float64(0.3339195431150989), 'whale_5k_efficiency': np.float64(0.823751003887032), 'whale_10k_target_efficiency': np.float64(0.5773502691896258), 'whale_10k_10w_efficiency': np.float64(0.5592749406076782)}"
8.0,"Medium ($1k-$50k, 5-40w)",50000,280,73.95845310381381,100,100.0,0.0,99.99999999999997,93.05635402542546,3.9393873336424257,0.7455676610206762,0.9877797749294888,0.33471822987287264,800.0000000000002,"{'week1_fp_per_$': np.float64(125.10876208919751), 'week2_fp_per_$': np.float64(314.62135623730956), 'week3_fp_per_$': np.float64(617.9606347910659), 'target_fp_per_$': np.float64(800.0000000000002), 'week1_vs_target': np.float64(0.15638595261149685), 'week3_vs_target': np.float64(0.7724507934888322), 'early_growth_rate': np.float64(3.9393873336424257)}","{'target_fp_per_$': np.float64(800.0000000000002), 'week10_fp_per_$': np.float64(771.3528033149206), 'week20_fp_per_$': np.float64(596.4541288165411), 'week10_vs_target': np.float64(0.9641910041436504), 'week20_vs_target': np.float64(0.7455676610206762), 'retention_penalty': np.float64(0.2544323389793238), 'long_micro_fp_per_$': np.float64(115.76643819694172), 'long_micro_vs_target': np.float64(0.1447080477461771)}","{'target_fp_per_$': np.float64(800.0000000000002), 'flash_whale_fp_per_$': np.float64(267.7745838982982), 'whale_5k_fp_per_$': np.float64(790.2238199435913), 'whale_10k_target_fp_per_$': np.float64(754.068657639651), 'whale_10k_10w_fp_per_$': np.float64(727.0662162028299), 'flash_whale_efficiency': np.float64(0.33471822987287264), 'whale_5k_efficiency': np.float64(0.9877797749294888), 'whale_10k_target_efficiency': np.float64(0.9425858220495634), 'whale_10k_10w_efficiency': np.float64(0.908832770253537), 'whale_50k_fp_per_$': np.float64(210.87837957644538), 'whale_50k_efficiency': np.float64(0.26359797447055666)}"
8.0,"Wide ($1k-$100k, 5-50w)",100000,350,73.50720581153959,100,100.0,0.0,99.99999999999997,90.04803874359729,3.9393873336424257,0.8324027308945523,0.9969193319565445,0.3497598062820136,800.0000000000002,"{'week1_fp_per_$': np.float64(125.10876208919751), 'week2_fp_per_$': np.float64(314.62135623730956), 'week3_fp_per_$': np.float64(617.9606347910659), 'target_fp_per_$': np.float64(800.0000000000002), 'week1_vs_target': np.float64(0.15638595261149685), 'week3_vs_target': np.float64(0.7724507934888322), 'early_growth_rate': np.float64(3.9393873336424257)}","{'target_fp_per_$': np.float64(800.0000000000002), 'week10_fp_per_$': np.float64(782.264839248101), 'week20_fp_per_$': np.float64(665.9221847156421), 'week10_vs_target': np.float64(0.977831049060126), 'week20_vs_target': np.float64(0.8324027308945523), 'retention_penalty': np.float64(0.1675972691054477), 'long_micro_fp_per_$': np.float64(154.95013832085533), 'long_micro_vs_target': np.float64(0.1936876729010691)}","{'target_fp_per_$': np.float64(800.0000000000002), 'flash_whale_fp_per_$': np.float64(279.80784502561096), 'whale_5k_fp_per_$': np.float64(797.5354655652358), 'whale_10k_target_fp_per_$': np.float64(787.9550143401302), 'whale_10k_10w_fp_per_$': np.float64(770.4868782843962), 'flash_whale_efficiency': np.float64(0.3497598062820136), 'whale_5k_efficiency': np.float64(0.9969193319565445), 'whale_10k_target_efficiency': np.float64(0.9849437679251625), 'whale_10k_10w_efficiency': np.float64(0.963108597855495), 'whale_50k_fp_per_$': np.float64(453.94174047875435), 'whale_50k_efficiency': np.float64(0.5674271755984428), 'whale_100k_fp_per_$': np.float64(147.40366619712344), 'whale_100k_efficiency': np.float64(0.18425458274640424)}"
7.0,"Medium ($1k-$50k, 5-40w)",50000,280,73.24514438446951,100,100.0,0.0,99.99999999999999,88.30096256313004,3.4626455115147294,0.7551755214467802,0.9882412344173984,0.35849518718434975,700.0000000000001,"{'week1_fp_per_$': np.float64(122.5126317424886), 'week2_fp_per_$': np.float64(287.8875655532296), 'week3_fp_per_$': np.float64(546.7304461494737), 'target_fp_per_$': np.float64(700.0000000000001), 'week1_vs_target': np.float64(0.17501804534641224), 'week3_vs_target': np.float64(0.7810434944992479), 'early_growth_rate': np.float64(3.4626455115147294)}","{'target_fp_per_$': np.float64(700.0000000000001), 'week10_fp_per_$': np.float64(675.8802550758681), 'week20_fp_per_$': np.float64(528.6228650127463), 'week10_vs_target': np.float64(0.9655432215369544), 'week20_vs_target': np.float64(0.7551755214467802), 'retention_penalty': np.float64(0.24482447855321976), 'long_micro_fp_per_$': np.float64(114.14460382120083), 'long_micro_vs_target': np.float64(0.1630637197445726)}","{'target_fp_per_$': np.float64(700.0000000000001), 'flash_whale_fp_per_$': np.float64(250.94663102904488), 'whale_5k_fp_per_$': np.float64(691.768864092179), 'whale_10k_target_fp_per_$': np.float64(661.3277252244507), 'whale_10k_10w_fp_per_$': np.float64(638.5405023049218), 'flash_whale_efficiency': np.float64(0.35849518718434975), 'whale_5k_efficiency': np.float64(0.9882412344173984), 'whale_10k_target_efficiency': np.float64(0.9447538931777865), 'whale_10k_10w_efficiency': np.float64(0.9122007175784596), 'whale_50k_fp_per_$': np.float64(199.8006625951705), 'whale_50k_efficiency': np.float64(0.2854295179931007)}"
